Geneid	Length
22145	2053
381272	767
56812	3203
19275	3535
19711	710
13437	1946
13346	2150
100503248	676
11790	11933
69080	1528
100862164	449
241118	2650
74241	3235
319998	2185
98733	5770
16322	1463
71728	4458
20536	4441
100862333	771
620079	2188
13838	6328
18505	3868
100039210	1208
433323	3998
23874	2132
68393	1206
74205	3950
195434	3981
57814	2463
20254	2485
100862182	832
252903	2876
69368	4714
100038695	1791
69163	1424
100862198	480
20720	2055
241128	2862
26554	2764
72208	394
210293	7303
241134	4919
16367	9163
100503073	3039
76867	3757
100503095	2833
12829	7808
12828	8609
75734	1866
66261	1503
100044526	654
15463	3137
80721	2974
71386	992
20297	802
71227	1670
77629	6512
98496	2667
227325	3632
100628595	77
14897	9632
66153	900
71781	2349
100503433	891
381287	1760
621875	1334
100040135	1348
665378	1621
620078	1971
100040213	891
100039794	1073
665338	891
109032	1971
434484	2417
100503502	852
100503045	659
20684	2158
319997	1936
12283	3800
64294	2024
71141	1148
227326	2550
70060	1602
72792	3331
70247	3256
15559	2072
78795	5258
100861644	653
227327	2595
383538	483
17975	8257
100303740	116
80828	68
319336	1266
14767	1218
71863	1721
19231	1192
18582	1092
26895	2231
18159	1042
208718	3171
11650	2113
76768	2337
11648	1680
13599	2698
69453	1999
11447	2910
11449	1921
26987	4928
98363	1805
227331	5743
100040591	1349
73234	462
53972	3384
319977	1676
620454	1602
23956	2018
16331	4938
77040	3180
100217415	248
20215	1718
100503175	947
227333	5694
227334	5316
394430	3242
394434	3216
394432	3294
394435	2293
94284	3302
394433	3208
22236	3206
15504	1017
394436	3229
100040766	7526
381280	8439
78605	3662
171382	3844
75396	870
14659	1957
100503197	2622
320982	3967
78650	476
73475	603
98402	3673
77331	591
347722	9581
74403	3611
14472	2126
208372	1404
74918	3210
12778	2579
108679	1843
433332	1207
12835	10841
171531	4484
623503	261
19329	1950
16978	5743
329207	3851
51801	3022
67921	1363
665783	892
50880	2207
227357	5442
100503326	684
70788	3020
227358	2815
67444	1368
67086	547
55927	1335
18627	5837
74019	3500
65247	6072
13345	1312
208727	3960
67273	1220
259040	939
258228	936
259041	1189
259039	1082
258274	966
258483	972
258484	969
257890	1121
66915	711
260301	704
14733	3552
100504295	543
387167	66
241158	3243
67446	1491
108657	3039
100037260	1689
23830	2877
64095	4396
208760	1088
16560	8257
11611	1517
71874	2362
381284	7348
208777	4474
69821	3315
269224	5119
66385	3653
404545	3217
110611	6238
18000	3335
227377	3912
59041	3254
51800	1432
67026	2160
66615	2964
21915	1310
66262	4539
98314	3058
381334	2846
100041596	1185
666009	570
619597	4059
241159	4511
18566	1930
74689	1565
67698	2107
20452	5677
75381	761
100504401	921
73454	356
75159	583
227394	2394
329217	3849
67854	2475
74441	2433
634331	2091
634346	2300
52392	2738
227399	5565
252876	2041
18484	4103
78603	1178
69030	1687
70866	2328
100504494	800
241175	5120
100504525	886
23836	3722
320311	8529
100504568	1284
27392	6777
227446	5406
100042023	231
21934	5022
635504	465
227449	6661
626049	545
98432	6104
12043	7749
320761	1243
70750	5582
20479	3272
20724	2565
71869	1735
241196	1607
20248	1629
394252	1164
383548	1632
381286	1659
66957	1699
116872	1887
18788	2047
241197	3490
20725	3289
241201	3353
227485	3054
319901	5763
636808	3915
634762	729
22099	3040
67949	1894
76707	7899
68204	597
81879	9270
14633	6708
16324	4255
100502628	748
64143	2277
226351	2830
226352	7746
19258	4707
66343	3301
226356	2511
319229	1924
170706	1017
13167	745
73103	1089
68428	3177
226359	2000
17167	1985
13798	2554
98452	1580
72999	2524
70829	7256
15564	2019
66942	2249
100502702	453
269109	4630
74117	2746
74150	2597
71111	2690
72585	2047
210356	7593
107895	3104
667090	484
72160	2517
266645	2303
100502745	464
72949	3514
22625	3936
226407	4251
226409	4154
226412	4812
387147	70
67812	4093
226413	6166
17219	2901
226414	2509
12767	1814
210417	6253
100042740	613
13137	1324
13136	2527
22789	2034
12269	1883
12270	754
18640	9621
226418	3843
212439	2909
64435	1911
100502856	1065
18703	3849
69169	1491
93672	1116
58181	824
329244	1023
16153	1306
17164	2567
226419	2072
16865	2290
54354	3405
56489	3203
14270	8040
108900	2105
26361	4148
13034	2120
226421	2523
320718	3640
212933	3540
98396	4660
226422	1189
98415	6096
212980	3426
13714	3671
213006	4853
18557	3046
723818	97
213409	958
213417	4269
74137	3132
68875	3410
213452	6385
213464	3632
74626	1742
21367	9535
269116	10379
100038653	1879
16980	3346
17248	3490
240752	7929
108954	5588
240753	7457
100502933	3112
68338	1842
280287	496
19701	1423
214253	2279
20668	3531
20643	492
70579	4395
667118	5007
240754	2371
381290	8292
269120	2074
116847	3602
100502984	884
14264	2859
100502999	532
12227	3083
667414	432
71884	1711
12654	1689
53311	1829
11539	5786
17928	1480
68507	6067
57439	3169
240755	1770
72017	1626
72674	2024
100861791	590
240756	3196
98710	1960
100503055	641
71001	1457
75605	6300
20980	3386
329251	6185
67196	1079
329252	3623
13924	6089
100038590	915
320139	3264
68724	1702
171469	2253
13710	2000
215615	2301
21854	917
93689	3942
77552	1190
226432	6236
215690	12767
13007	1770
27280	1467
21952	1114
16763	2992
21956	1194
18772	4486
226438	8996
66241	1750
12292	6260
329253	508
16565	9119
76422	2922
67313	3013
100042513	584
383563	1960
67886	7823
320054	2097
67997	2228
381293	8770
71084	1846
226442	5275
100503460	489
100503474	1199
667686	385
26424	3857
320138	3023
735252	87
723890	80
19264	5664
338375	1887
59125	3366
545363	1930
16876	5750
69549	571
75546	410
329260	8314
170788	4702
71209	1111
226470	8362
12316	9866
14060	2378
50702	1732
624286	999
214403	2887
545366	1602
12628	4365
240776	3957
75910	551
226472	591
214498	2678
26878	4578
69367	3730
20822	8721
56207	1851
19735	3009
100861894	494
246709	1497
50778	1330
624910	459
64214	1859
215378	3172
100043240	3910
791353	1179
100503781	490
18783	2846
320019	1098
19225	4150
100043257	532
100043261	345
20028	1247
75584	610
226499	3242
108989	7550
96875	4278
545370	18316
402734	2640
73176	1674
117198	5037
66875	3668
98685	2665
19821	3028
100503012	373
63913	3939
66967	6604
69399	9754
66637	1133
269132	4056
19731	3887
100861876	505
71281	1566
67771	1897
100503084	519
17970	2596
226517	6069
226518	4523
16782	5164
226519	7622
626058	2827
71836	2045
13211	4613
74091	1403
67792	5804
329271	3337
19734	2335
24014	4758
240816	3640
240817	1654
433365	2527
240819	1415
14645	2782
100861882	573
207678	1877
78112	613
12290	12697
15939	3270
15064	2509
58244	2459
207792	4611
100503411	2791
19775	7651
433367	1751
72482	1942
16872	1853
100861926	688
104009	3361
74081	13307
208263	4439
240832	8112
329274	3687
214575	3443
170484	3108
77352	3297
20652	4785
11352	10714
30935	3268
100503836	636
215015	4238
78255	7133
72713	2190
73435	898
226525	10046
69953	1194
226527	1289
89867	4651
100504090	420
240843	4101
11899	7224
735253	109
23850	8585
72025	2475
26374	5056
100217414	118
21960	5395
67647	5391
75255	887
329278	5812
64659	1970
12301	2115
29809	9489
100316784	109
620246	1086
620750	465
381305	11011
11905	2162
240869	3883
14455	2554
100628588	91
100217446	65
226539	3581
70454	4327
226541	4037
73844	3723
100502590	954
11758	2334
22164	1609
240873	2064
14103	1935
226551	6308
75368	1164
67292	3301
103967	7523
72753	919
474332	7928
723821	110
387210	110
71449	2791
53330	2532
17926	2080
100038657	741
226562	10444
226564	1787
14261	2326
55990	3336
226565	1870
14262	2010
78258	2956
18933	7448
98376	2509
240879	1053
16579	3907
240880	4069
381306	2912
69962	1457
20339	2912
20343	2321
20344	3438
100503816	1241
14067	7406
116914	3546
74895	1896
66352	4035
171567	3011
11931	2422
56429	1636
433374	1588
16963	502
69476	357
75857	998
83993	2662
108735	5526
226591	4395
240888	1943
74106	3306
70456	854
271639	5209
68481	2356
100503268	612
226594	2670
100503283	1514
433375	2125
12503	4604
18986	13123
240892	4025
59290	2293
98558	1546
100039795	8260
100503318	2514
27878	2145
71592	7372
226601	1744
226604	3012
240894	3065
100503962	936
226610	4986
80914	1338
68944	4474
100862084	376
56752	2833
66447	635
240899	1137
100503977	287
20183	2363
110648	3338
18514	9027
66977	2405
19737	1809
100862094	1412
19736	2941
78465	1440
15490	4574
67303	1135
18214	8290
107652	2283
16589	2024
545378	399
622708	1691
26904	1433
665574	3833
76925	713
70729	3684
320078	3095
226641	7463
80915	1374
435653	1284
98752	1727
14130	1547
246256	1250
14131	1353
75472	1034
66052	1179
17528	1993
66425	1575
12355	1414
641376	2920
11807	521
14127	658
226646	1606
240913	3673
57370	1998
19044	1821
30941	2185
66155	964
100862110	308
100504072	1662
21945	2733
27045	1374
18637	622
68874	1555
71740	3504
226652	4488
22278	1822
226654	551
16456	2482
56009	1273
16429	1140
18106	3758
17085	2449
75345	3977
12506	1142
100041098	195
27218	2688
12523	6253
100038548	2574
100862186	671
30925	2443
93840	2260
18071	2487
59287	2855
12847	4629
100504176	730
19298	3131
98193	3743
18611	2477
12372	1874
27222	3485
98660	6227
140559	2234
16524	3270
16513	5407
67556	7569
100862199	620
98365	1145
93842	4249
21346	1382
71870	1822
71319	941
240916	1879
74748	2040
677296	1914
68440	1417
100040320	811
12944	1698
20219	984
18313	1050
258759	933
258758	1063
258880	942
258881	1034
14125	1026
258645	991
100504232	694
13349	1158
94332	4159
383619	2541
240921	2951
545384	1294
623121	2680
236312	3497
100033459	2987
100504251	716
226691	3484
15951	2296
100504287	1468
666028	634
100040462	1908
381308	1651
15950	3793
26388	1796
226695	1613
258712	1004
258711	939
258713	954
258717	943
259162	948
404222	924
258716	948
258715	1050
258302	1046
20739	8405
258710	1088
66289	803
258238	930
258709	1010
258756	955
546747	978
54418	6442
23893	3745
24012	2487
14194	1632
98256	2498
13603	1721
12663	6117
75820	3817
26909	5506
319455	3894
545389	6930
723921	99
76816	2619
15365	1510
23797	4735
30928	5106
75589	698
69428	749
11566	2553
631584	2790
545391	1663
78825	4214
791357	1199
75164	651
666295	875
320110	427
66359	448
51810	3670
68226	2539
269152	7406
69726	3769
15278	2448
226744	4545
109232	1922
226747	8831
100503705	1428
226751	8656
67426	4076
19165	2084
277333	3581
320404	5101
381310	6557
11545	3827
72568	3377
27217	2294
170760	3471
100504581	591
15078	1076
208768	3189
100504598	177
320202	2462
100862334	599
69051	1599
13590	1604
208795	3239
13849	1665
619326	1898
67459	3060
98417	3268
226757	7047
329307	2505
72978	2727
403180	1819
240960	13996
98386	3552
433384	1343
13800	4288
27058	1388
625823	921
13244	2005
67330	686
67948	4913
209456	4370
12334	3185
170725	3705
433386	2055
96935	2035
53791	3199
68897	5030
71678	3456
108909	3293
338366	6678
21339	2386
78772	2736
73363	967
63953	2712
73590	778
74971	1722
15284	2149
66112	2161
67247	1883
100316821	82
226777	2853
226778	4565
98732	6988
100217449	113
381314	3540
387189	67
387211	112
23827	2182
107508	4850
319562	3406
100039138	2761
226781	5836
114668	709
226791	1577
21808	4725
67223	1213
110957	3212
74717	1645
69308	823
67769	4565
100862400	1119
26381	5580
320272	2212
22283	15891
226823	3703
16526	3959
100042424	516
100039307	642
108000	11130
19250	10746
226830	1605
19130	4139
100504619	832
320119	3995
52477	3349
226841	4190
226844	4087
100125339	1649
75558	428
68972	1258
381318	2973
381319	712
619288	2234
11910	1977
100504360	568
100861628	406
66208	658
66950	4204
226849	3082
100504379	2421
76843	4202
77065	3252
226856	7246
18005	3197
98736	4362
22782	5230
74023	3720
22033	2102
100628582	81
100042625	720
214742	1597
100038712	2612
16510	7143
226861	2835
320952	2041
73455	404
214791	3401
100503471	624
329324	1731
215193	5548
54139	4125
319266	3834
215243	2121
15483	1446
14373	843
100503531	873
16780	4055
215303	2453
387201	68
74942	578
18845	11036
100628615	64
12490	2621
320400	2491
320977	5195
723963	81
387224	88
17221	1213
12946	1662
12902	6207
215728	2801
619314	1938
670558	2817
76142	2524
70337	1540
213783	7415
270685	4332
83397	6247
381990	3227
66084	1849
73419	2290
100504234	2151
13982	4319
64009	18115
68632	2777
22353	1527
67141	1807
108853	2621
56533	8191
100041224	522
18390	2639
320495	8240
215748	3448
77777	1819
237253	3403
18537	1917
320642	1253
69912	1290
407824	2188
16798	7215
23924	1775
215751	1557
100503695	916
67418	2896
237256	4093
100628581	94
68652	4278
338362	4284
70097	7183
791352	3151
320825	2495
620417	2980
78808	9074
215772	5218
67844	2054
382450	3785
14816	6990
78056	444
268281	9293
71865	5114
13853	1079
22288	12382
320273	1182
74732	2396
66125	734
22634	5260
100862331	414
75122	1053
353258	1769
215789	8913
66848	3954
56535	2405
66757	1453
66253	1054
15273	9768
100504211	3928
215798	6505
100039571	514
66201	1325
69412	910
76743	1477
18101	1173
100504235	3401
17684	1969
378431	4457
380629	3667
73112	810
19707	2618
100045792	2900
215814	1166
215819	7638
56016	1910
215821	8216
237300	2355
73968	2928
64058	1901
21929	4595
100504265	6220
94222	2066
15979	2099
237310	2468
237313	2088
76157	2629
18634	1894
26408	5393
17761	3895
73811	629
621697	592
72567	5454
71804	2307
29863	4127
52906	5094
100038717	3304
100504283	1667
17863	3777
56422	4893
73990	1016
237320	2243
76924	485
67692	1061
432436	2206
20393	4158
114671	1771
319887	2292
379043	1274
667281	952
606736	4515
56554	1271
100038752	4548
353169	3762
237336	2875
100504411	1274
100038582	2198
21412	1239
14051	4099
20042	518
100529074	105
100529075	68
76306	2837
26464	1811
22361	2416
111174	999
209512	1020
493809	1032
209513	1044
215854	1014
215855	1038
215856	1077
209517	1077
435206	1077
276742	1077
435207	1077
215859	1035
382348	1035
494546	1109
503558	1047
53331	2500
100862153	747
59012	3083
14219	2403
18605	3224
209558	2815
70208	4946
11846	1477
432442	3123
13822	4464
100504474	674
73803	865
215866	1543
77220	4115
100040851	1193
268288	3554
237339	3411
667572	1206
73910	3616
16773	9713
100040961	485
19272	6177
210757	3981
100504516	4347
114676	1545
67719	1319
67412	3948
212448	5644
52665	3180
68031	4404
72780	2397
100504540	2648
66311	1512
73681	2359
100504586	3440
66847	696
211329	5338
15214	2532
69692	718
21987	1267
100041294	710
268291	2860
432450	3745
76757	4514
442820	1844
100862254	809
215890	2500
215895	882
57430	1096
212892	3650
72580	2364
414093	7840
66521	1082
692132	1185
270711	3714
103511	1786
215900	1082
212898	4225
22110	2696
72480	3900
319638	2716
12813	3130
14302	4805
100041585	3201
319415	3098
15182	2004
17118	4186
215919	1054
16775	6046
66337	730
71924	2929
327743	1418
14360	3692
100504626	1313
103213	2867
327744	1664
19714	10666
100504659	947
213332	781
75299	2400
72045	2285
100041085	1782
215928	5981
215929	2679
72472	6556
67239	1890
67371	1020
19850	104
11702	3206
78334	5807
70840	2243
70503	3000
327747	1529
71713	3366
83767	2550
100504721	508
140741	1092
103199	3263
633979	5640
268294	2831
171580	3563
20598	1602
73075	1070
53599	2830
75973	2749
70538	617
629461	2137
100628609	55
103268	2392
140742	3339
213402	4865
624784	2896
56484	2889
215951	2513
666540	1120
54198	1377
21907	3233
14628	3009
140740	6032
268297	4745
109205	4980
74530	1859
71365	2031
331623	6049
67851	898
100862325	514
12484	1816
414125	1833
69443	1060
76563	1970
170728	2981
11630	7416
70365	1522
11793	2352
100316688	93
12142	5143
19072	2719
78977	1851
23828	1607
380669	5403
209462	3785
320363	1892
100418235	2163
14806	4872
100504076	1592
77987	7477
20464	7355
14727	1305
14728	1420
77296	555
210198	2856
320995	3701
71090	1021
215031	1466
19886	7401
66686	3025
94221	4317
66650	1823
52014	4614
629689	1579
22639	3420
215085	4973
100862347	1026
100038725	2691
100502820	658
18821	2480
432460	504
100502868	5486
71567	3873
66403	2192
100042554	949
75906	3950
17155	3889
100502920	1230
544696	7240
73390	2140
14609	3105
100862378	716
791298	3115
74928	723
15500	2623
56442	2879
18768	6039
12140	762
100502970	631
57319	1791
100504180	2222
74399	2895
245263	1813
791309	3636
70297	6511
110829	4941
19386	9477
76138	2466
13608	3680
103505	1320
237353	5781
103080	2654
268301	4513
18451	4043
69836	1066
18302	2716
215999	2872
216001	2275
56709	1774
100503588	745
74747	1685
52717	1329
69090	1578
94214	3916
53374	6113
19156	2731
22295	11260
74048	4846
100302688	858
71279	5240
107449	5867
100503834	701
73616	853
327760	1131
13180	810
20397	4123
65971	2023
237360	5188
100862379	900
18646	2054
27355	4274
18119	2094
13688	1786
100503821	3961
216011	2635
237362	1307
67895	1292
20224	2602
71767	2286
71361	3468
404634	1910
100628583	85
12817	2900
432466	1550
69894	1731
11925	1540
70423	3605
21337	2258
15275	4509
70162	557
216019	3483
338359	2390
74706	2194
30930	3252
19073	938
72320	2472
56200	4743
100862011	549
94213	2507
216021	3102
67500	4478
100217463	28
52463	14082
73132	3141
327762	4122
70432	8936
432467	2168
67307	2211
68371	1952
53404	450
68802	5246
641387	764
67345	4043
100502721	1584
93759	3910
30045	1365
216033	3924
791346	2569
216028	3852
100502808	1111
69433	345
28193	5550
108829	8947
641340	1789
13654	2965
211488	4445
100038508	2225
216049	4257
170799	3932
71371	4494
100503521	2231
75148	769
73287	1238
327766	5052
69288	4631
320700	2969
12534	2860
11735	10685
76551	5511
69563	443
66859	3563
71721	3510
70911	3010
319646	2082
83675	3111
319572	2300
21780	3918
216080	1431
52637	965
69718	5417
622812	1008
108950	806
100040505	2619
52696	2676
327768	1989
100861952	1042
11994	15991
71236	1223
14687	2435
76877	2620
110279	6537
74392	6438
11540	2534
544707	907
103149	1437
71125	1262
68778	2910
67332	604
192734	4601
14598	2022
23887	4137
100503432	424
71733	3255
104248	7460
13202	609
103140	1873
14871	1037
75886	964
14872	1370
17319	554
70377	1336
20587	1657
100861975	691
17385	2247
103172	948
333670	1215
22364	602
333669	2838
64453	4874
64454	2132
64452	2055
15468	2052
751554	84
20203	1661
64451	6355
18541	9530
67523	997
76964	1763
216119	4522
54387	6383
16987	3102
74953	1237
76573	1331
14317	2710
12834	3729
100861980	894
12833	3976
59093	2175
100038479	1548
20509	2390
12822	5791
100169878	719
80294	2219
110532	6634
100045653	2564
108707	2428
16414	2862
108705	2247
20610	2493
22213	1982
100316811	84
100502831	801
670895	961
16697	400
100009614	553
100502921	363
16694	671
100502953	363
77763	678
100041250	693
100041261	693
634517	693
100041281	693
634504	711
675294	678
100503388	747
670880	1097
100040299	723
100191037	902
544710	1305
622629	930
100041351	664
252974	2163
75188	914
237387	4296
28240	7292
67884	1696
18641	3719
11634	1929
54427	1885
50723	2748
100503488	816
28295	1363
110816	3871
216131	5048
28169	3439
18114	2008
13014	602
216134	5094
791283	3273
258224	1064
216136	2329
71709	3288
257883	1160
12365	2331
70976	1718
20513	2089
258305	963
257734	1148
259163	1095
18372	933
259044	1266
259074	1174
259042	960
18357	1080
72128	4229
624765	2592
216144	3276
624845	2598
625029	2595
50784	1646
70427	2562
21830	1249
237397	6754
216148	3961
100503607	877
382384	1248
17123	1420
110012	1101
216150	1266
16904	1286
12215	1752
15166	3195
216151	3762
67112	489
70294	1639
83554	1953
73106	2693
100503626	1871
18483	2651
78906	2427
414101	3595
19205	2933
216152	4275
19152	972
50701	920
100503642	254
11537	923
216154	3218
100862144	1000
109284	1821
114229	3163
13496	5326
216156	2954
170483	3274
216157	2223
12798	1782
27403	6594
70719	4052
66420	1008
625249	1201
216161	4640
20869	1621
100503659	3294
66043	931
100862154	483
59090	3708
12696	1256
69770	651
13637	2131
68114	3717
75406	758
14431	944
70248	2085
103232	462
20054	522
23805	9074
66374	1659
18551	2514
70335	2016
66548	2572
216166	2112
237400	3258
17192	1589
100503758	442
66594	436
21423	3547
246086	4695
67331	4411
66932	5249
118445	2652
216169	1473
100113398	1411
100862189	844
56214	1802
103236	2511
208198	3026
17347	3070
208228	2647
71564	938
11776	4730
208266	5694
78670	1260
20222	1674
11705	1665
71912	1116
18245	1074
100316778	74
237403	3439
66094	468
73218	2869
432478	3454
30055	1225
16907	3371
17873	1266
14708	3495
208666	2920
106947	3462
52551	1947
50492	2585
208677	2283
26396	2373
16969	5373
59004	1673
13629	3100
100217454	53
100503773	446
13144	1824
69678	318
69564	1840
16467	3677
103406	3341
17179	1734
66047	587
57267	2107
100526465	91
27375	3031
18717	4279
70312	2724
21390	1919
209047	1024
15353	1659
73822	1702
432479	695
56371	2254
102115	1444
100503793	1017
72273	575
18029	6295
319586	4390
103425	2879
13611	2393
14676	1962
14672	3262
14797	1347
21886	3115
114606	2015
268319	1890
50721	2134
70615	3658
100233208	4725
666448	468
73610	2384
100040944	2851
666738	468
666501	468
331188	4067
666548	468
100038681	1556
666790	468
408062	2300
327780	2673
216177	2634
237411	2031
100503696	5187
237412	2238
432480	662
100862390	322
544717	748
21665	3218
74782	2153
67933	2386
18045	2552
70003	1056
50493	4019
66341	1305
58250	5528
338365	4386
28109	3509
216188	6030
319277	5858
216190	2946
69784	1194
77976	5026
216197	2915
442847	1334
216198	2400
100503200	2524
70428	4830
71137	4074
625690	555
237422	3069
14202	2670
103266	3778
74238	1567
12952	3016
74007	5955
626858	1476
626940	1449
100503271	204
103136	2579
72843	3921
67341	1157
28088	1979
270757	2328
69754	1886
27204	11838
78170	564
21859	4681
100503291	464
627035	1482
382395	1473
66263	1620
22027	2759
103220	5032
103466	5952
192188	8133
83559	1183
76640	1343
100038674	2335
17172	2259
18478	2143
16000	7817
100503785	1270
22172	1347
110312	748
75317	3628
626115	1288
69736	1369
67282	1379
71712	2807
432486	5204
20962	1122
212862	3411
109272	3981
20728	1266
237433	1561
104303	842
70683	8831
216225	5331
320091	4117
237436	6748
20186	2340
216227	4452
213326	3431
67019	1703
75089	6446
77531	10286
100043039	308
11783	6557
67454	4110
18674	1512
100861804	464
21917	8127
100503982	1051
723955	100
110333	2687
100526517	84
627800	1604
667203	692
17997	3533
380653	2199
380654	7399
237459	3643
100316689	119
13713	4234
432488	855
16993	2066
15109	2758
71761	2421
237465	3655
69878	813
74454	1859
57764	2411
667338	611
100504069	908
327799	3957
56307	4990
74923	2075
723908	96
215008	4479
13998	8044
22025	3827
66414	561
100861832	322
215472	773
319880	5889
67723	4135
77048	2986
54712	7045
12905	1650
69629	642
216233	2698
70523	1182
67270	666
93765	3851
71207	3231
100526463	91
216238	7836
100504157	192
12226	5010
75301	1015
100628616	85
13179	2084
17022	2075
75025	1465
16545	1950
13516	1723
100038699	1633
66716	1868
791295	1882
667438	551
67972	7130
382406	2727
14426	5113
100861874	277
67603	2797
100504202	2095
100417125	2506
71832	1954
17311	5450
100043224	914
100043227	927
100043231	910
100043235	910
100043239	910
100043247	914
237500	6630
216274	8006
68281	2419
